Base Architecture,Task,CORAL Applied,Feature Set,Accuracy,Balanced Acc,AUC
autoencoder,stance,NO,Combined,0.9231,0.8438,0.9631
autoencoder,stance,YES,Combined,0.4103,0.25,0.5507
autoencoder,stance,NO,Handcrafted,0.8462,0.7574,0.9229
autoencoder,stance,YES,Handcrafted,0.5385,0.4182,0.6225
autoencoder,stance,NO,Latent,0.9231,0.8438,0.9566
autoencoder,stance,YES,Latent,0.4359,0.2411,0.6213
autoencoder,walk,NO,Combined,0.84,0.7386,0.9397
autoencoder,walk,YES,Combined,0.68,0.4052,0.6578
autoencoder,walk,NO,Handcrafted,0.84,0.5915,0.9727
autoencoder,walk,YES,Handcrafted,0.68,0.4412,0.5752
autoencoder,walk,NO,Latent,0.72,0.6797,0.8569
autoencoder,walk,YES,Latent,0.72,0.4967,0.5838
classifier,stance,NO,Combined,0.8718,0.7693,0.9186
classifier,stance,YES,Combined,0.8718,0.7188,0.9609
classifier,stance,NO,Handcrafted,0.8462,0.7574,0.9229
classifier,stance,YES,Handcrafted,0.5385,0.3958,0.6275
classifier,stance,NO,Latent,0.7436,0.6905,0.8841
classifier,stance,YES,Latent,0.8718,0.7188,0.9457
classifier,walk,NO,Combined,0.84,0.7386,0.9572
classifier,walk,YES,Combined,0.84,0.6275,0.8775
classifier,walk,NO,Handcrafted,0.84,0.5915,0.9727
classifier,walk,YES,Handcrafted,0.68,0.4771,0.8366
classifier,walk,NO,Latent,0.8,0.6078,0.8715
classifier,walk,YES,Latent,0.84,0.6275,0.8553
